,dropoutFn,nstart,valAccuracy,learningrate,layerForm,nlayers,activationFn,dR,testAccuracy
129,<function dropout at 0x7fab5d204a60>,1024,0.0,0.1,cone,16,3,0.5,0.009999999776482582
130,<function dropout at 0x7fab5d204a60>,1024,0.7000000357627869,0.1,cone,32,3,0.0,0.7049999237060547
131,<function dropout at 0x7fab5d204a60>,1024,0.0,0.1,cone,32,3,0.5,0.009999999776482582
132,<function dropout at 0x7fab5d204a60>,1024,0.7780219912528993,0.01,cone,2,3,0.0,0.7899999618530273
133,<function dropout at 0x7fab5d204a60>,1024,0.781318712234497,0.01,cone,2,3,0.5,0.7999999523162842
134,<function dropout at 0x7fab5d204a60>,1024,0.7824176073074341,0.01,cone,3,3,0.0,0.7875000238418579
135,<function dropout at 0x7fab5d204a60>,1024,0.7142857789993285,0.01,cone,3,3,0.5,0.7699999809265137
136,<function dropout at 0x7fab5d204a60>,1024,0.7840659856796265,0.01,cone,4,3,0.0,0.7899999618530273
137,<function dropout at 0x7fab5d204a60>,1024,0.6324176490306854,0.01,cone,4,3,0.5,0.684999942779541
138,<function dropout at 0x7fab5d204a60>,1024,0.7719780445098877,0.01,cone,8,3,0.0,0.7875000238418579
139,<function dropout at 0x7fab5d204a60>,1024,0.03461538655683399,0.01,cone,8,3,0.5,0.022499997168779373
140,<function dropout at 0x7fab5d204a60>,1024,0.7560440123081206,0.01,cone,16,3,0.0,0.7024999856948853
141,<function dropout at 0x7fab5d204a60>,1024,0.019230770133435725,0.01,cone,16,3,0.5,0.007499999832361937
142,<function dropout at 0x7fab5d204a60>,1024,0.6719780325889587,0.01,cone,32,3,0.0,0.6924999356269836
143,<function dropout at 0x7fab5d204a60>,1024,0.0,0.01,cone,32,3,0.5,0.009999999776482582
