,layerForm,dropoutFn,nlayers,dR,learningrate,activationFn,nstart,testAccuracy,valAccuracy
121,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,10.0,3,512,0.49339932203292847,0.48351654410362255
122,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,10.0,3,1024,0.49339938163757324,0.48351654410362255
123,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,1.0,3,256,0.49339938163757324,0.48351654410362255
124,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,1.0,3,512,0.49339938163757324,0.48351654410362255
125,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,1.0,3,1024,0.49339932203292847,0.48351654410362255
126,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,0.1,3,256,0.49339938163757324,0.48351654410362255
127,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,0.1,3,512,0.49339932203292847,0.48351654410362255
128,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,0.1,3,1024,0.49339932203292847,0.48351654410362255
129,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,0.01,3,256,0.49504953622817993,0.49670332670211786
130,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,0.01,3,512,0.4983498752117157,0.5032967329025267
131,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,0.01,3,1024,0.49339932203292847,0.4989011377096175
132,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,10.0,3,256,0.49339938163757324,0.48351654410362255
133,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,10.0,3,512,0.49339932203292847,0.48351654410362255
134,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,10.0,3,1024,0.49339932203292847,0.48351654410362255
135,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,1.0,3,256,0.49339932203292847,0.48351654410362255
136,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,1.0,3,512,0.49339932203292847,0.48351654410362255
137,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,1.0,3,1024,0.49339932203292847,0.48351654410362255
138,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,0.1,3,256,0.49339932203292847,0.48351654410362255
139,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,0.1,3,512,0.49339932203292847,0.48351654410362255
140,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,0.1,3,1024,0.49339932203292847,0.48351654410362255
141,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,0.01,3,256,0.49339932203292847,0.48351654410362255
142,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,0.01,3,512,0.49339932203292847,0.48351654410362255
143,rect,<function dropout at 0x7fe45d1dfa60>,32,0.5,0.01,3,1024,0.49339932203292847,0.48351654410362255
