,layerForm,nstart,nlayers,dR,dropoutFn,learningrate,valAccuracy,testAccuracy,activationFn
128,rect,1024,16,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
129,rect,1024,16,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
130,rect,1024,16,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
131,rect,1024,16,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9231203138828277,0.92173171043396,3
132,rect,1024,16,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
133,rect,1024,16,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
134,rect,1024,16,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
135,rect,1024,16,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.7195334494113921,0.7194002270698547,3
136,rect,1024,32,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060027956962585,3
137,rect,1024,32,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
138,rect,1024,32,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
139,rect,1024,32,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9133946657180787,0.9143199920654297,3
140,rect,1024,32,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
141,rect,1024,32,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
142,rect,1024,32,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
143,rect,1024,32,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.2806585133075714,0.28060024976730347,3
