,dR,nstart,valAccuracy,dropoutFn,learningrate,layerForm,activationFn,nlayers,testAccuracy
111,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,8,0.8459672927856445
112,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,16,0.8459672331809998
113,0.5,512,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,32,0.8459672331809998
114,0.5,512,0.9544607043266295,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,2,0.9587629437446594
115,0.5,512,0.8994673490524293,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,3,0.8950878977775574
116,0.5,512,0.8794939517974855,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,4,0.8684051036834717
117,0.5,512,0.7435419142246247,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,8,0.7707701921463013
118,0.5,512,0.8382156789302826,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,16,0.841722309589386
119,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,32,0.8459672331809998
120,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,2,0.8459672331809998
121,0.5,1024,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,3,0.8459672927856445
122,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,4,0.8459672331809998
123,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,8,0.8459672927856445
124,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,16,0.8459672331809998
125,0.5,1024,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,32,0.8459672927856445
126,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,2,0.8459672331809998
127,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,3,0.8459672331809998
128,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,4,0.8459672927856445
129,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,8,0.8459672331809998
130,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,16,0.8459672331809998
131,0.5,1024,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,32,0.8459672331809998
132,0.5,1024,0.983621782064438,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,2,0.9890842437744141
133,0.5,1024,0.9770971655845643,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,3,0.9812007546424866
134,0.5,1024,0.9774966537952425,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,4,0.9763492941856384
135,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,8,0.8459672927856445
136,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,16,0.8459672331809998
137,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,32,0.8459672927856445
138,0.5,1024,0.9402130246162416,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,2,0.9417829513549805
139,0.5,1024,0.909587126970291,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,3,0.9084292650222778
140,0.5,1024,0.8245006084442138,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,4,0.8077622652053833
141,0.5,1024,0.699600487947464,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,8,0.7210431098937988
142,0.5,1024,0.7238348603248596,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,16,0.8532443642616272
143,0.5,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,32,0.8459672927856445
