"dataset","nhidden","testAccuracy","bottleneck","learningrate","valAccuracy","nblocks","blockForm"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421479105949,2,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421477615833,16,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421477615833,8,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421477615833,2,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421477615833,16,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421477615833,4,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.169421477615833,3,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.169421476125717,8,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421476125717,16,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.169421476125717,8,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421476125717,4,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421476125717,4,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421474635601,3,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421474635601,8,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.169421474635601,3,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.169421473145485,3,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.5,0.1,0.149173545092344,16,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.5,0.1,0.126033052802086,16,"rect"
"cardiotocography-10clases",1024,0.118644066154957,0.5,0.1,0.124793380871415,8,"rect"
