"dataset","nhidden","nblocks","valAccuracy","blockForm","testAccuracy","learningrate","bottleneck"
"ilpd-indian-liver",512,3,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",256,3,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",256,3,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",256,3,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",256,3,0.714285790920257,"diavolo",0.719178020954132,1,0.5
"ilpd-indian-liver",1024,2,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,2,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",1024,2,0.714285790920257,"diavolo",0.719178020954132,1,0.25
"ilpd-indian-liver",1024,2,0.714285790920257,"diavolo",0.719178020954132,1,0.5
"ilpd-indian-liver",512,2,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",512,2,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",512,2,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",512,2,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",256,2,0.714285790920257,"rect",0.719178020954132,1,0.25
"ilpd-indian-liver",256,2,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",256,2,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",256,2,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",1024,3,0.712698489427567,"diavolo",0.753424644470215,0.1,0.25
"ilpd-indian-liver",1024,16,0.712698489427566,"diavolo",0.719178020954132,0.1,0.5
"ilpd-indian-liver",1024,8,0.712698489427566,"diavolo",0.719178080558777,0.01,0.5
"ilpd-indian-liver",512,4,0.712698489427566,"rect",0.698630094528198,0.01,0.25
"ilpd-indian-liver",256,3,0.712698489427566,"rect",0.732876658439636,0.01,0.5
"ilpd-indian-liver",512,3,0.712698489427566,"rect",0.705479502677917,0.1,0.25
"ilpd-indian-liver",512,3,0.712698489427566,"diavolo",0.650684893131256,0.1,0.25
"ilpd-indian-liver",512,3,0.711111187934875,"diavolo",0.719178020954132,0.1,0.5
"ilpd-indian-liver",512,8,0.709523886442184,"rect",0.684931516647339,0.01,0.25
"ilpd-indian-liver",1024,4,0.709523886442184,"rect",0.719178080558777,0.01,0.5
"ilpd-indian-liver",1024,4,0.709523886442184,"diavolo",0.719178080558777,0.1,0.25
"ilpd-indian-liver",1024,3,0.709523886442184,"rect",0.726027369499207,0.01,0.25
"ilpd-indian-liver",256,3,0.709523886442184,"diavolo",0.712328732013702,0.01,0.25
"ilpd-indian-liver",512,2,0.709523886442184,"diavolo",0.726027369499207,0.1,0.5
"ilpd-indian-liver",512,8,0.707936584949493,"rect",0.719178020954132,0.01,0.5
"ilpd-indian-liver",512,8,0.707936584949493,"diavolo",0.726027429103851,0.1,0.25
"ilpd-indian-liver",512,2,0.707936584949493,"diavolo",0.691780805587769,0.01,0.25
"ilpd-indian-liver",1024,4,0.704761981964111,"diavolo",0.719178020954132,0.1,0.5
"ilpd-indian-liver",1024,3,0.704761981964111,"diavolo",0.732876718044281,0.01,0.5
"ilpd-indian-liver",1024,2,0.70317468047142,"rect",0.698630154132843,0.1,0.25
"ilpd-indian-liver",512,4,0.70317468047142,"rect",0.705479443073273,0.01,0.5
"ilpd-indian-liver",1024,16,0.701587378978729,"diavolo",0.719178080558777,0.01,0.25
"ilpd-indian-liver",256,16,0.701587378978729,"diavolo",0.726027429103851,0.01,0.5
"ilpd-indian-liver",512,4,0.698412775993347,"diavolo",0.726027369499207,0.1,0.5
"ilpd-indian-liver",512,4,0.696825474500656,"diavolo",0.678082168102264,0.01,0.5
"ilpd-indian-liver",512,2,0.696825474500656,"diavolo",0.650684893131256,0.01,0.5
"ilpd-indian-liver",256,4,0.693650871515274,"rect",0.671232879161835,0.1,0.5
"ilpd-indian-liver",1024,16,0.692063570022583,"diavolo",0.66438353061676,0.01,0.5
"ilpd-indian-liver",256,16,0.692063570022583,"diavolo",0.719178080558777,0.1,0.25
"ilpd-indian-liver",512,2,0.692063570022583,"rect",0.712328732013702,0.1,0.5
"ilpd-indian-liver",512,2,0.690476268529892,"rect",0.732876718044281,0.1,0.25
"ilpd-indian-liver",256,4,0.68730166554451,"diavolo",0.712328732013702,0.1,0.5
"ilpd-indian-liver",512,16,0.685714364051819,"diavolo",0.636986255645752,0.01,0.25
"ilpd-indian-liver",256,4,0.685714364051819,"rect",0.719178080558777,0.01,0.25
"ilpd-indian-liver",256,2,0.682539761066437,"diavolo",0.684931457042694,0.01,0.25
"ilpd-indian-liver",512,3,0.679365158081055,"rect",0.643835604190826,0.01,0.25
"ilpd-indian-liver",256,2,0.677777856588364,"diavolo",0.698630094528198,0.1,0.5
"ilpd-indian-liver",1024,2,0.676190555095672,"diavolo",0.719178020954132,0.1,0.25
"ilpd-indian-liver",256,2,0.676190555095672,"rect",0.705479443073273,0.1,0.5
"ilpd-indian-liver",512,3,0.674603253602981,"diavolo",0.643835663795471,0.01,0.5
"ilpd-indian-liver",256,3,0.674603253602981,"rect",0.726027369499207,0.1,0.5
"ilpd-indian-liver",512,4,0.671428650617599,"diavolo",0.66438353061676,0.01,0.25
"ilpd-indian-liver",1024,8,0.671428644657135,"rect",0.719178020954132,0.1,0.5
"ilpd-indian-liver",512,8,0.669841349124908,"diavolo",0.698630154132843,0.01,0.25
"ilpd-indian-liver",256,2,0.668254047632217,"rect",0.684931457042694,0.1,0.25
"ilpd-indian-liver",1024,2,0.65714293718338,"rect",0.66438353061676,0.01,0.25
"ilpd-indian-liver",1024,2,0.642857223749161,"rect",0.671232879161835,0.01,0.5
"ilpd-indian-liver",256,8,0.639682620763779,"diavolo",0.643835604190826,0.01,0.5
"ilpd-indian-liver",256,2,0.628571510314941,"rect",0.547945201396942,0.01,0.5
"ilpd-indian-liver",1024,4,0.615873089432716,"diavolo",0.5,0.01,0.5
"ilpd-indian-liver",256,2,0.600000083446503,"rect",0.595890402793884,0.01,0.25
"ilpd-indian-liver",256,8,0.598412781953812,"diavolo",0.691780805587769,0.01,0.25
"ilpd-indian-liver",256,8,0.561904847621918,"rect",0.602739751338959,0.01,0.25
"ilpd-indian-liver",256,2,0.452380988001823,"diavolo",0.472602725028992,0.01,0.5
