"dataset","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy","nhidden"
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,1,0.329411774873734,0.325641071796417,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,1,0.329411774873734,0.325641071796417,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,1,0.329411774873734,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",3,1,0.329411774873734,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,1,0.329411774873734,0.325641071796417,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,1,0.329411774873734,0.325641071796417,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,1,0.329411774873734,0.325641071796417,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,1,0.329411774873734,0.325641071796417,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,1,0.329411774873734,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,1,0.329411774873734,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,1,0.329411774873734,0.325641071796417,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,1,0.329411774873734,0.325641071796417,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,1,0.329411774873734,0.325641071796417,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,1,0.329411774873734,0.325641068816185,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",3,1,0.329411774873734,0.324786365032196,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,1,0.329411774873734,0.320512866973877,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,1,0.329411774873734,0.315384656190872,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,1,0.329411774873734,0.301709446310997,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,1,0.329411774873734,0.292307734489441,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,1,0.329411774873734,0.288034230470657,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,1,0.329411774873734,0.286324828863144,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,0.1,0.329411774873734,0.282906025648117,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,0.1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,1,0.329411774873734,0.28205132484436,512
