"dataset","nhidden","testAccuracy","valAccuracy","learningrate","nblocks","blockForm","bottleneck"
"car",512,0.0370370373129845,0.0526595745235681,1,2,"rect",0.25
"car",512,0.0370370373129845,0.0526595745235681,1,2,"diavolo",0.25
"car",1024,0.0370370373129845,0.052659573033452,1,3,"rect",0.25
"car",1024,0.0370370373129845,0.052659573033452,1,2,"rect",0.25
"car",1024,0.0370370373129845,0.052659573033452,1,2,"diavolo",0.25
"car",1024,0.0370370373129845,0.052659573033452,1,2,"diavolo",0.5
"car",1024,0.0370370373129845,0.0489361707121134,1,4,"rect",0.25
"car",512,0.0370370373129845,0.0452127654105425,1,4,"diavolo",0.25
"car",512,0.0370370373129845,0.0441489357501268,1,3,"diavolo",0.25
"car",512,0.0370370373129845,0.0393617015331984,1,8,"diavolo",0.25
"car",1024,0.0370370373129845,0.0393617011606693,1,8,"diavolo",0.5
"car",1024,0.0370370373129845,0.0388297867029905,1,16,"diavolo",0.25
"car",1024,0.0370370373129845,0.037234041839838,0.1,16,"rect",0.25
"car",1024,0.0370370373129845,0.037234041839838,0.1,16,"rect",0.5
"car",512,0.0370370373129845,0.037234041839838,0.1,16,"rect",0.25
"car",512,0.0370370373129845,0.037234041839838,0.1,16,"rect",0.5
"car",1024,0.0370370373129845,0.037234041839838,1,16,"rect",0.25
"car",1024,0.0370370373129845,0.037234041839838,1,16,"rect",0.5
"car",1024,0.0370370373129845,0.037234041839838,1,16,"diavolo",0.5
"car",512,0.0370370373129845,0.037234041839838,1,16,"rect",0.25
"car",512,0.0370370373129845,0.037234041839838,1,16,"rect",0.5
"car",512,0.0370370373129845,0.037234041839838,1,16,"diavolo",0.25
"car",512,0.0370370373129845,0.037234041839838,1,16,"diavolo",0.5
"car",256,0.0370370373129845,0.037234041839838,1,16,"rect",0.25
"car",256,0.0370370373129845,0.037234041839838,1,16,"rect",0.5
"car",256,0.0370370373129845,0.037234041839838,1,16,"diavolo",0.25
"car",256,0.0370370373129845,0.037234041839838,1,16,"diavolo",0.5
"car",1024,0.0370370373129845,0.037234041839838,1,8,"rect",0.25
"car",1024,0.0370370373129845,0.037234041839838,1,8,"rect",0.5
"car",1024,0.0370370373129845,0.037234041839838,1,8,"diavolo",0.25
"car",512,0.0370370373129845,0.037234041839838,1,8,"rect",0.25
"car",512,0.0370370373129845,0.037234041839838,1,8,"rect",0.5
"car",512,0.0370370373129845,0.037234041839838,1,8,"diavolo",0.5
"car",256,0.0370370373129845,0.037234041839838,1,8,"rect",0.25
"car",256,0.0370370373129845,0.037234041839838,1,8,"rect",0.5
"car",256,0.0370370373129845,0.037234041839838,1,8,"diavolo",0.25
"car",256,0.0370370373129845,0.037234041839838,1,8,"diavolo",0.5
